Time fed,Time eaten (s)
"10/6/2020 at 23:59:48",24
"9/6/2020 at 23:8:9",12
"9/6/2020 at 22:56:21",45
"9/6/2020 at 22:56:6",14
"9/6/2020 at 22:55:12",53
"9/6/2020 at 22:54:24",45
"9/6/2020 at 22:54:9",14
"9/6/2020 at 22:53:33",34
"9/6/2020 at 22:52:41",52
"9/6/2020 at 22:52:27",13
"9/6/2020 at 22:52:0",26
"9/6/2020 at 22:49:52",22
"9/6/2020 at 22:38:4",42
"9/6/2020 at 20:58:51",13
"9/6/2020 at 20:57:48",54
"9/6/2020 at 20:57:36",11
"8/6/2020 at 16:6:9",27
"8/6/2020 at 14:1:36",53
"8/6/2020 at 14:1:13",14
"8/6/2020 at 14:0:31",12
"8/6/2020 at 13:59:59",31
"8/6/2020 at 13:58:30",15
"8/6/2020 at 13:58:0",12
"8/6/2020 at 13:8:39",5
"8/6/2020 at 13:8:10",28
"8/6/2020 at 13:7:57",12
"7/6/2020 at 23:45:49",23
"7/6/2020 at 23:41:26",22
"7/6/2020 at 23:36:4",21
"7/6/2020 at 23:35:50",12
"7/6/2020 at 23:35:31",14
"7/6/2020 at 23:32:22",34
"7/6/2020 at 23:11:45",35
"7/6/2020 at 22:53:8",34
"7/6/2020 at 19:52:25",43
"7/6/2020 at 19:48:59",8
"6/6/2020 at 18:50:19",40
"5/6/2020 at 22:20:48",44
"5/6/2020 at 22:20:32",15
"5/6/2020 at 22:19:3",13
"5/6/2020 at 22:3:27",14
"5/6/2020 at 20:22:41",2
"5/6/2020 at 20:21:30",27
"5/6/2020 at 20:17:0",42
"5/6/2020 at 20:0:12",57
"5/6/2020 at 20:0:1",11
"5/6/2020 at 19:59:50",11
"5/6/2020 at 19:55:51",59
"5/6/2020 at 19:55:40",11
"5/6/2020 at 19:54:31",9
"5/6/2020 at 19:53:43",29
"5/6/2020 at 19:53:30",11
"5/6/2020 at 19:53:16",14
"5/6/2020 at 19:53:2",13
"5/6/2020 at 19:52:50",12
"5/6/2020 at 19:51:49",1
"5/6/2020 at 19:51:38",11
"5/6/2020 at 19:51:27",11
"5/6/2020 at 19:51:16",11
"5/6/2020 at 19:25:40",11
"5/6/2020 at 19:25:25",15
"5/6/2020 at 19:25:13",12
"5/6/2020 at 19:24:49",12
"5/6/2020 at 19:24:0",49
"5/6/2020 at 19:23:3",37
"5/6/2020 at 19:4:13",25
"5/6/2020 at 18:46:16",57
"5/6/2020 at 18:46:5",11
"5/6/2020 at 18:45:48",17
"5/6/2020 at 18:44:33",15
"5/6/2020 at 18:43:46",36
"5/6/2020 at 18:43:19",27
"5/6/2020 at 18:43:5",14
"5/6/2020 at 18:42:52",13
"5/6/2020 at 18:42:41",11
"5/6/2020 at 18:37:58",43
"29/5/2020 at 17:34:33",23
"29/5/2020 at 17:33:31",47
